cest;ncm;descricao;anexo;segmento
0100100;38151210;"Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores";II;"AUTOPEÇAS"
0100100;38151290;"Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores";II;"AUTOPEÇAS"
0100200;3917;"Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos";II;"AUTOPEÇAS"
0100300;39181000;"Protetores de caçamba";II;"AUTOPEÇAS"
0100400;39233000;"Reservatórios de óleo";II;"AUTOPEÇAS"
0100500;39263000;"Frisos, decalques, molduras e acabamentos";II;"AUTOPEÇAS"
0100600;40103;"Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias";II;"AUTOPEÇAS"
0100600;59100000;"Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias";II;"AUTOPEÇAS"
0100700;40169300;"Juntas, gaxetas e outros elementos com função semelhante de vedação";II;"AUTOPEÇAS"
0100700;4823909;"Juntas, gaxetas e outros elementos com função semelhante de vedação";II;"AUTOPEÇAS"
0100800;40161010;"Partes de veículos automóveis, tratores e máquinas autopropulsadas";II;"AUTOPEÇAS"
0100900;40169990;"Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins";II;"AUTOPEÇAS"
0100900;57050000;"Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins";II;"AUTOPEÇAS"
0101000;59039000;"Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico";II;"AUTOPEÇAS"
0101100;59090000;"Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias";II;"AUTOPEÇAS"
0101200;63061;"Encerados e toldos";II;"AUTOPEÇAS"
0101300;65061000;"Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores";II;"AUTOPEÇAS"
