ncm;tratamento;reducao;norma;dispositivo;trecho
100630;zero;0;"Lei Complementar 214/2025";"Anexo I, item 1";"Arroz das subposições 1006.20 e 1006.30 e do código 1006.40.00 da NCM/SH"
100620;zero;0;"Lei Complementar 214/2025";"Anexo I, item 1";"Arroz das subposições 1006.20 e 1006.30 e do código 1006.40.00 da NCM/SH"
10064000;zero;0;"Lei Complementar 214/2025";"Anexo I, item 1";"Arroz das subposições 1006.20 e 1006.30 e do código 1006.40.00 da NCM/SH"
04012090;zero;0;"Lei Complementar 214/2025";"Anexo I, item 2";"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH"
04012010;zero;0;"Lei Complementar 214/2025";"Anexo I, item 2";"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH"
04011010;zero;0;"Lei Complementar 214/2025";"Anexo I, item 2";"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH"
04014010;zero;0;"Lei Complementar 214/2025";"Anexo I, item 2";"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH"
04015010;zero;0;"Lei Complementar 214/2025";"Anexo I, item 2";"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH"
04011090;zero;0;"Lei Complementar 214/2025";"Anexo I, item 2";"Leite, em conformidade com os requisitos da legislação específica relativos ao consumo direto pela população, classificado nos códigos 0401.10.10, 0401.10.90, 0401.20.10, 0401.20.90, 0401.40.10 e 0401.50.10 da NCM/SH"
04022920;zero;0;"Lei Complementar 214/2025";"Anexo I, item 3";"Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH"
04022110;zero;0;"Lei Complementar 214/2025";"Anexo I, item 3";"Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH"
04021010;zero;0;"Lei Complementar 214/2025";"Anexo I, item 3";"Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH"
04021090;zero;0;"Lei Complementar 214/2025";"Anexo I, item 3";"Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH"
04022120;zero;0;"Lei Complementar 214/2025";"Anexo I, item 3";"Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH"
04022910;zero;0;"Lei Complementar 214/2025";"Anexo I, item 3";"Leite em pó, em conformidade com os requisitos da legislação específica, classificado nos códigos 0402.10.10, 0402.10.90, 0402.21.10, 0402.21.20, 0402.29.10 e 0402.29.20 da NCM/SH"
21069090;zero;0;"Lei Complementar 214/2025";"Anexo I, item 4";"Fórmulas infantis, em conformidade com os requisitos da legislação específica, classificadas nos códigos 1901.10.10, 1901.10.90 e 2106.90.90 da NCM/SH"
19011010;zero;0;"Lei Complementar 214/2025";"Anexo I, item 4";"Fórmulas infantis, em conformidade com os requisitos da legislação específica, classificadas nos códigos 1901.10.10, 1901.10.90 e 2106.90.90 da NCM/SH"
19011090;zero;0;"Lei Complementar 214/2025";"Anexo I, item 4";"Fórmulas infantis, em conformidade com os requisitos da legislação específica, classificadas nos códigos 1901.10.10, 1901.10.90 e 2106.90.90 da NCM/SH"
04051000;zero;0;"Lei Complementar 214/2025";"Anexo I, item 5";"Manteiga do código 0405.10.00 da NCM/SH"
15171000;zero;0;"Lei Complementar 214/2025";"Anexo I, item 6";"Margarina do código 1517.10.00 da NCM/SH"
07133399;zero;0;"Lei Complementar 214/2025";"Anexo I, item 7";"Feijões dos códigos 0713.33.19, 0713.33.29, 0713.33.99 e 0713.35.90 da NCM/SH"
