ncm;artigo;pagina;trecho
24022000;17;;"Art. 17. O estabelecimento industrial de cigarros classi fi cados no código 2402.20.00 da Tipi e de cigarrilhas responde solidariamente com a empresa comercial exportadora pelo recolhimento da Con"
27101921;18;6;"www.in.gov.br/en/web/dou/-/instrucao-normativa-rfb-n-2.121-de-15-de-dezembro-de-2022-452045866 5/316 VII - a pessoa jurídica que não destinar óleo combustível, tipo bunker, classi fi cado nos códigos 2710.19.21 e 2710.19.22 da Tipi, à navegação de cabotagem ou de apoio portuário e marítimo, na hipótese prevista no art."
27101922;18;6;"/en/web/dou/-/instrucao-normativa-rfb-n-2.121-de-15-de-dezembro-de-2022-452045866 5/316 VII - a pessoa jurídica que não destinar óleo combustível, tipo bunker, classi fi cado nos códigos 2710.19.21 e 2710.19.22 da Tipi, à navegação de cabotagem ou de apoio portuário e marítimo, na hipótese prevista no art. 361 (Lei nº "
87100000;24;10;"a jurídica fabricante de veículos e carros blindados de combate, novos, armados ou não, e suas partes, produzidos no Brasil, com peso bruto total até 30 (trinta) toneladas, classi fi cados na posição 8710.00.00 da Tipi, quando destinados a órgãos e entidades da Administração Pública direta, nos termos do art. 621 (Lei "
27101922;24;10;"essoa jurídica fabricante a empresa sediada no exterior, nos termos do art. 666 (Lei nº 11.196, de 2005, art. 49); XV - da venda de óleo combustível tipo bunker classi fi cado nos códigos 271019.21 e 2710.19.22 da Tipi, quando destinados à navegação de cabotagem e de apoio portuário marítimo, nos termos do art. 353 (Le"
29141100;24;10;"quando destinados à navegação de cabotagem e de apoio portuário marítimo, nos termos do art. 353 (Lei nº 11.774, de 2008, art. 2º, incisos I a III); XVI - da venda de acetona classi fi cada no código 2914.11.00 da Tipi, destinada à produção de monoisopropilamina (Mipa), utilizada na elaboração de defensivos agropecuári"
76129012;60;;"ção cumulativa ou não cumulativa, mediante a aplicação das alíquotas previstas: I - no art. 416, na hipótese de venda de máquinas, implementos e veículos classi fi cados nos códigos 7309.00, 7310.29, 7612.90.12, 8424.82, 84.29, 8430.69.90, 84.32, 84.33, 84.34, 84.35, 84.36, 84.37, 87.01, 87.02, 87.03, 87.04, 87.05, 870"
84306990;60;;"tiva, mediante a aplicação das alíquotas previstas: I - no art. 416, na hipótese de venda de máquinas, implementos e veículos classi fi cados nos códigos 7309.00, 7310.29, 7612.90.12, 8424.82, 84.29, 8430.69.90, 84.32, 84.33, 84.34, 84.35, 84.36, 84.37, 87.01, 87.02, 87.03, 87.04, 87.05, 8706.00 e 8716.20.00 da Tipi (L"
87162000;60;;"as, implementos e veículos classi fi cados nos códigos 7309.00, 7310.29, 7612.90.12, 8424.82, 84.29, 8430.69.90, 84.32, 84.33, 84.34, 84.35, 84.36, 84.37, 87.01, 87.02, 87.03, 87.04, 87.05, 8706.00 e 8716.20.00 da Tipi (Lei nº 10.485, de 2002, art. 1º, com redação dada pela Lei nº 12.973, de 2014, art. 103); II - no ar"
87021000;69;;"e Decreto nº 6.644, de 18 de novembro de 2008, art. 1º): I - veículos novos montados sobre chassis, com capacidade para 23 (vinte e três) a 44 (quarenta e quatro) pessoas, classi fi cados nos códigos 8702.10.00 Ex 02, 8702.20.00 Ex 02, 8702.30.00 Ex 02, 8702.40.90 Ex 02 e 8702.90.00 Ex 02 da Tipi, destinados ao transpo"
87022000;69;;", de 18 de novembro de 2008, art. 1º): I - veículos novos montados sobre chassis, com capacidade para 23 (vinte e três) a 44 (quarenta e quatro) pessoas, classi fi cados nos códigos 8702.10.00 Ex 02, 8702.20.00 Ex 02, 8702.30.00 Ex 02, 8702.40.90 Ex 02 e 8702.90.00 Ex 02 da Tipi, destinados ao transporte escolar para a"
87023000;69;;"o de 2008, art. 1º): I - veículos novos montados sobre chassis, com capacidade para 23 (vinte e três) a 44 (quarenta e quatro) pessoas, classi fi cados nos códigos 8702.10.00 Ex 02, 8702.20.00 Ex 02, 8702.30.00 Ex 02, 8702.40.90 Ex 02 e 8702.90.00 Ex 02 da Tipi, destinados ao transporte escolar para a educação básica d"
