ncm;regime;cst;norma;dispositivo;trecho
27101159;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 101";"Gasolinas, Exceto Gasolina de Aviação"
27101259;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 101";"Gasolinas, Exceto Gasolina de Aviação"
27101921;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 102";"Óleo Diesel"
27111910;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 103";"Gás Liqüefeito de Petróleo – GLP"
27101911;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 104";"Querosene de Aviação"
38249029;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 109";"Biodiesel"
38260000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 109";"Biodiesel"
22072010;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
22071000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
22089000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
220710;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
2207201;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
22089000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
220710;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
2207201;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
22089000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 112";"Álcool, Inclusive para Fins Carburantes – Venda por Produtor ou Importador."
22072010;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 113";"Álcool, Inclusive para Fins Carburantes – Venda por Distribuidor ou Comerciante Não Varejista."
22071000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 113";"Álcool, Inclusive para Fins Carburantes – Venda por Distribuidor ou Comerciante Não Varejista."
22089000;monofasico;02/04;"Tabela 4.3.10 - Tabela Produtos Sujeitos à Alíquotas Diferenciadas: Incidência Monofásica e por Pauta (Bebidas Frias) (CST 02 e 04). Versão 1.25 - Atualizada em 30.03.2026";"Codigo da natureza da receita 113";"Álcool, Inclusive para Fins Carburantes – Venda por Distribuidor ou Comerciante Não Varejista."
