segmento;anexo;item;cest;ncm;descricao;op_interna;protocolo;legislacao;mva4;mva7;mva12;mva_int;mva2_4;mva2_7;mva2_12;mva2_int;mva_ns4;mva_ns7;mva_ns12;mva_imp;pfc;aliq_interna;fecoep;aliq_txt;vigencia;versao
AUTOPEÇAS;II;1;0100100;38151210;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;1;0100100;38151290;Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;2;0100200;3917;Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;3;0100300;39181000;Protetores de caçamba;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;4;0100400;39233000;Reservatórios de óleo;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;5;0100500;39263000;Frisos, decalques, molduras e acabamentos;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;6;0100600;40103;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;6;0100600;59100000;Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;7;0100700;40169300;Juntas, gaxetas e outros elementos com função semelhante de vedação;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;7;0100700;4823909;Juntas, gaxetas e outros elementos com função semelhante de vedação;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;8;0100800;40161010;Partes de veículos automóveis, tratores e máquinas autopropulsadas;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;9;0100900;40169990;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;9;0100900;57050000;Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;10;0101000;59039000;Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;11;0101100;59090000;Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;12;0101200;63061;Encerados e toldos;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;13;0101300;65061000;Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;14;0101400;6813;Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
AUTOPEÇAS;II;15;0101500;70071100;Vidros de dimensões e formatos que permitam aplicação automotiva;S;PT 97/10;Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02;106.14;99.69;88.96;71.78;63.87;58.75;50.22;36.56;;;;;;19;1;19% + 1% (FECOEP);01/07/2023;0019
