ncm;cest;mva;aliq_interna;op_interna;segmento;norma;dispositivo;trecho
38151210;0100100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores"
38151290;0100100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Catalisadores em colmeia cerâmica ou metálica para conversão catalítica de gases de escape de veículos e outros catalisadores"
3917;0100200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Tubos e seus acessórios (por exemplo, juntas, cotovelos, flanges, uniões), de plásticos"
39181000;0100300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Protetores de caçamba"
39233000;0100400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Reservatórios de óleo"
39263000;0100500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Frisos, decalques, molduras e acabamentos"
40103;0100600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias"
59100000;0100600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Correias de transmissão de borracha vulcanizada, de matérias têxteis, mesmo impregnadas, revestidas ou recobertas, de plástico, ou estratificadas com plástico ou reforçadas com metal ou com outras matérias"
40169300;0100700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Juntas, gaxetas e outros elementos com função semelhante de vedação"
4823909;0100700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Juntas, gaxetas e outros elementos com função semelhante de vedação"
40161010;0100800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Partes de veículos automóveis, tratores e máquinas autopropulsadas"
40169990;0100900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins"
57050000;0100900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Tapetes, revestimentos, mesmo confeccionados, batentes, buchas e coxins"
59039000;0101000;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Tecidos impregnados, revestidos, recobertos ou estratificados, com plástico"
59090000;0101100;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Mangueiras e tubos semelhantes, de matérias têxteis, mesmo com reforço ou acessórios de outras matérias"
63061;0101200;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Encerados e toldos"
65061000;0101300;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Capacetes e artefatos de uso semelhante, de proteção, para uso em motocicletas, incluídos ciclomotores"
6813;0101400;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Guarnições de fricção (por exemplo, placas, rolos, tiras, segmentos, discos, anéis, pastilhas), não montadas, para freios, embreagens ou qualquer outro mecanismo de fricção, à base de amianto, de outras substâncias minerais ou de celulose, mesmo combinadas com têxteis ou outras matérias"
70071100;0101500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Vidros de dimensões e formatos que permitam aplicação automotiva"
70072100;0101500;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Vidros de dimensões e formatos que permitam aplicação automotiva"
70091000;0101600;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Espelhos retrovisores"
70140000;0101700;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Lentes de faróis, lanternas e outros utensílios"
73110000;0101800;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Cilindro de aço para GNV (gás natural veicular)"
73110000;0101900;50.22;19;S;"Autopecas";"RICMS/SE - Decreto 21.400/2002 c/c PT 97/10";"Art. 681, XVI, e Anexo IX, Tabela VI do RICMS/02";"Recipientes para gases comprimidos ou liquefeitos, de ferro fundido, ferro ou aço, exceto o descrito no item 18.0"
