ncm;aliquota;descricao
01012100;NT;"Reprodutores de raça pura"
01012900;NT;"Outros"
01013000;NT;"Asininos"
01019000;NT;"Outros"
01022110;NT;"Prenhes ou com cria ao pé"
01022190;NT;"Outros"
01022911;NT;"Prenhes ou com cria ao pé"
01022919;NT;"Outros"
01022990;NT;"Outros"
01023110;NT;"Prenhes ou com cria ao pé"
01023190;NT;"Outros"
01023911;NT;"Prenhes ou com cria ao pé"
01023919;NT;"Outros"
01023990;NT;"Outros"
01029000;NT;"Outros"
01031000;NT;"Reprodutores de raça pura"
01039100;NT;"De peso inferior a 50 kg"
01039200;NT;"De peso igual ou superior a 50 kg"
01041011;NT;"Prenhes ou com cria ao pé"
01041019;NT;"Outros"
01041090;NT;"Outros"
01042010;NT;"Reprodutores de raça pura"
01042090;NT;"Outros"
01051110;NT;"De linhas puras ou híbridas, para reprodução"
01051190;NT;"Outros"
01051200;NT;"Peruas e perus"
01051300;NT;"Patos"
01051400;NT;"Gansos"
01051500;NT;"Galinhas-d'angola (pintadas)"
01059400;NT;"Aves da espécie Gallus domesticus"
01059900;NT;"Outros"
01061100;NT;"Primatas"
01061200;NT;"Baleias, golfinhos e botos (mamíferos da ordem Cetacea); peixes-boi (manatins) e dugongos
(mamíferos da ordem Sirenia); otárias e focas, leões-marinhos e morsas (mamíferos da
subordem Pinnipedia)"
01061300;NT;"Camelos e outros camelídeos (Camelidae)"
01061400;NT;"Coelhos e lebres"
01061900;NT;"Outros"
01062000;NT;"Répteis (incluindo as serpentes e as tartarugas marinhas)"
01063100;NT;"Aves de rapina"
01063200;NT;"Psitaciformes (incluindo os papagaios, os periquitos, as araras e as catatuas)"
01063310;NT;"Avestruzes (Struthio camelus), para reprodução"
01063390;NT;"Outros"
01063900;NT;"Outras"
01064100;NT;"Abelhas"
01064900;NT;"Outros"
01069000;NT;"Outros"
02011000;0;"Carcaças e meias-carcaças"
02012010;0;"Quartos dianteiros"
02012020;0;"Quartos traseiros"
02012090;0;"Outras"
02013000;0;"Desossadas"
02021000;0;"Carcaças e meias-carcaças"
02022010;0;"Quartos dianteiros"
02022020;0;"Quartos traseiros"
02022090;0;"Outras"
02023000;0;"Desossadas"
02031100;0;"Carcaças e meias-carcaças"
02031200;0;"Pernas, pás e respectivos pedaços, não desossados"
02031900;0;"Outras"
02032100;0;"Carcaças e meias-carcaças"
02032200;0;"Pernas, pás e respectivos pedaços, não desossados"
02032900;0;"Outras"
02041000;0;"Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas"
02042100;0;"Carcaças e meias-carcaças"
02042200;0;"Outras peças não desossadas"
02042300;0;"Desossadas"
02043000;0;"Carcaças e meias-carcaças de cordeiro, congeladas"
02044100;0;"Carcaças e meias-carcaças"
02044200;0;"Outras peças não desossadas"
